evaluator,group,n_articles,n_ties_excluded,overall_accuracy,macro_f1,middle_tier_bias,tier1_precision,tier1_recall,tier4_precision,tier4_recall,top12_precision,top12_recall,bottom34_precision,bottom34_recall,extreme14_precision,extreme14_recall,middle23_precision,middle23_recall,mean_signed_error,pessimism_rate,optimism_rate,individual_mean_accuracy,individual_std_accuracy,matched_n_mean_accuracy,matched_n_ci_lower,matched_n_ci_upper,matched_n_mean_effective_n
Flagship: Seed 2.0,flagship,113,0,0.30973451327433627,0.2257303658903213,1.396551724137931,0.4375,0.4827586206896552,0.0,0.0,0.5523809523809524,0.9830508474576272,0.875,0.12962962962962962,0.4375,0.2545454545454545,0.49382716049382713,0.6896551724137931,0.6637168141592921,0.13274336283185842,0.5575221238938053,,,,,,
Chat Baseline: GPT-5.2,chat,120,0,0.325,0.21687862699098653,2.0,0.0,0.0,0.0,0.0,0.7627118644067796,0.75,0.7540983606557377,0.7666666666666667,0.0,0.0,0.5,1.0,-0.008333333333333333,0.325,0.35,,,,,,
SFT: GPT-4.1,sft,120,0,0.475,0.46757663601028854,1.15,0.5526315789473685,0.7,0.6923076923076923,0.3,0.7297297297297297,0.9,0.8695652173913043,0.6666666666666666,0.6078431372549019,0.5166666666666667,0.5797101449275363,0.6666666666666666,0.325,0.10833333333333334,0.4166666666666667,,,,,,
SFT: GPT-4.1-nano,sft,120,0,0.525,0.5105129716981132,0.6833333333333333,0.4888888888888889,0.7333333333333333,0.5588235294117647,0.6333333333333333,0.7352941176470589,0.8333333333333334,0.8076923076923077,0.7,0.5949367088607594,0.7833333333333333,0.6829268292682927,0.4666666666666667,0.15833333333333333,0.18333333333333332,0.2916666666666667,,,,,,
SFT: Qwen3-30B,sft,120,0,0.48333333333333334,0.470337321592615,0.9166666666666666,0.49019607843137253,0.8333333333333334,0.7857142857142857,0.36666666666666664,0.6582278481012658,0.8666666666666667,0.8048780487804879,0.55,0.6307692307692307,0.6833333333333333,0.6545454545454545,0.6,0.4666666666666667,0.1,0.4166666666666667,,,,,,
SFT: Qwen3-4B,sft,120,0,0.5166666666666667,0.5100860417806752,0.8166666666666667,0.4791666666666667,0.7666666666666667,0.6521739130434783,0.5,0.7575757575757576,0.8333333333333334,0.8148148148148148,0.7333333333333333,0.5774647887323944,0.6833333333333333,0.6122448979591837,0.5,0.25833333333333336,0.125,0.35833333333333334,,,,,,
SFT: 2-Model Ensemble,sft,120,0,0.5583333333333333,0.5500455261894628,0.75,0.5,0.7666666666666667,0.6206896551724138,0.6,0.7285714285714285,0.85,0.82,0.6833333333333333,0.6133333333333333,0.7666666666666667,0.6888888888888889,0.5166666666666667,0.225,0.13333333333333333,0.30833333333333335,,,,,,
Expert Majority (Unfiltered),human,89,31,0.4157303370786517,0.40392579810181195,1.5106382978723405,0.625,0.22727272727272727,0.6,0.3,0.6511627906976745,0.6363636363636364,0.6521739130434783,0.6666666666666666,0.7222222222222222,0.30952380952380953,0.5915492957746479,0.8936170212765957,-0.056179775280898875,0.30337078651685395,0.2808988764044944,,,,,,
Student Majority (Filtered),human,103,17,0.4077669902912621,0.40524593559076316,1.5576923076923077,0.6666666666666666,0.3333333333333333,0.7,0.25925925925925924,0.6363636363636364,0.56,0.6271186440677966,0.6981132075471698,0.7727272727272727,0.3333333333333333,0.5802469135802469,0.9038461538461539,-0.009708737864077669,0.2912621359223301,0.30097087378640774,,,,,,
Expert Individual (Pooled),human,384,0,0.3619791666666667,0.3531131489912852,1.421875,0.38461538461538464,0.20833333333333334,0.4745762711864407,0.2916666666666667,0.6179775280898876,0.5729166666666666,0.6019417475728155,0.6458333333333334,0.6396396396396397,0.3697916666666667,0.5567765567765568,0.7916666666666666,-0.0546875,0.3255208333333333,0.3125,0.3619791666666667,0.20505510308553268,,,,
Student Individual (Pooled),human,2530,0,0.31778656126482213,0.31756006246735907,1.2505928853754942,0.3646055437100213,0.27056962025316456,0.3736951983298539,0.28278041074249605,0.575353871773522,0.5462450592885375,0.5680963130173062,0.5968379446640316,0.5516877637130801,0.4134387351778656,0.5309734513274337,0.6640316205533597,-0.028853754940711462,0.34347826086956523,0.33873517786561264,0.3173676419366075,0.14195897733999704,,,,
Student Matched-N Consensus (Expert Sized),human,120,0,0.425,0.42626811594202896,1.4833333333333334,0.6875,0.36666666666666664,0.6,0.3,0.6363636363636364,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.7741935483870968,0.4,0.5955056179775281,0.8833333333333333,-0.03333333333333333,0.2833333333333333,0.2916666666666667,,,0.36096308008251715,0.2682926829268293,0.4567901234567901,83.3746
